study,arm,model,scope,seed,run_id,git_commit,git_dirty,recipe,recipe_sha256,checkpoint_sha256,checkpoint_epoch,mas_pcc,mac_pcc,mse,mae,prior_mse,skill_vs_prior
main_model,main,rna_methylation,chr1,17,main-seed17-r3,dcc3b435334e993f702bf41cf66e3fd1a53f6d62,False,configs/models/main.yaml,e01eb45735b67d9d9fe2297b1c065d96e83324a21a47e4fddb0615d3531a8aa4,e0f47e6b1c6d12986fead9efbe6175f88910b3482fb4e356db128c1590f1cc1e,80,0.583604340837172,0.9507007894494623,0.014469190913678102,0.0761511039213867,0.027223526572326653,0.4685041677008015
main_model,main,rna_methylation,chr1,42,main-seed42-r3,dcc3b435334e993f702bf41cf66e3fd1a53f6d62,False,configs/models/main.yaml,e01eb45735b67d9d9fe2297b1c065d96e83324a21a47e4fddb0615d3531a8aa4,5279adce1101e2a195f97322ef11776fac9a505d921608bcfa2a65f08064ae4d,80,0.5832447028323413,0.9500585377569031,0.014596665756505499,0.07654745695887491,0.027223526572326653,0.463821642735172
