arm,seed,view,mas_pcc,mac_pcc,mse,mae,skill_vs_prior,median_abs_locus_bias,checkpoint_epoch,run_id
full_reference,17,train_cpg_x_val_sample,0.6787269050755049,0.9604792757691023,0.012056017084259091,0.06713396494746404,0.5068357282800504,,80,ref-locus-attn-k64-noproduct-seed17-chr123
full_reference,17,val_cpg_x_train_sample,0.6029624375509758,0.9493632440169313,0.014558786575340576,0.07095668845511018,0.4944888235579479,0.01884991246496595,80,ref-locus-attn-k64-noproduct-seed17-chr123
full_reference,17,val_cpg_x_val_sample,0.5450910668284202,0.9463041558655659,0.015733194077332466,0.07374951999671985,0.46323334897979385,0.0188747595565511,80,ref-locus-attn-k64-noproduct-seed17-chr123
no_mean_branch,17,train_cpg_x_val_sample,0.6797125339525554,0.9553527467047909,0.013474125505783264,0.07444596974346877,0.44882648675085457,,80,mean-no-branch-seed17-chr123
no_mean_branch,17,val_cpg_x_train_sample,0.5942928968697372,0.9343117988501485,0.018895692727577414,0.08395404720978557,0.34390247353552295,0.0318409849102575,80,mean-no-branch-seed17-chr123
no_mean_branch,17,val_cpg_x_val_sample,0.5397363387677472,0.9312581325756343,0.020064516771920626,0.08613766967493955,0.3154623645354142,0.031925559019535976,80,mean-no-branch-seed17-chr123
no_mean_supervision,17,train_cpg_x_val_sample,0.6785246888620545,0.9600899296907013,0.012116587927698253,0.06861009325241091,0.5043580131537888,,80,mean-no-supervision-seed17-chr123
no_mean_supervision,17,val_cpg_x_train_sample,0.5989864352460591,0.9391224912402052,0.017412015820319426,0.08178101668453315,0.3954188038949674,0.032373721999217314,80,mean-no-supervision-seed17-chr123
no_mean_supervision,17,val_cpg_x_val_sample,0.5391506370852401,0.9359830567202074,0.018606074892575146,0.08434052956737498,0.3652197729444141,0.03228764820434072,80,mean-no-supervision-seed17-chr123
