view,comparator,decile,target_variance_median,mse_reduction_pct_full_vs_comparator,abs_bias_reduction_pct_full_vs_comparator
val_cpg_x_train_sample,no_mean_supervision,1,4.368181204256769e-05,79.14919365319669,67.8973051675647
val_cpg_x_train_sample,no_mean_supervision,2,0.00024584494067780263,61.38411521581032,53.60148637442593
val_cpg_x_train_sample,no_mean_supervision,3,0.0014788664406402913,42.4106648949285,45.616309947892724
val_cpg_x_train_sample,no_mean_supervision,4,0.004837865085119075,26.783030791734983,40.76626677197152
val_cpg_x_train_sample,no_mean_supervision,5,0.0104190933765949,24.707530744932093,33.943007122250975
val_cpg_x_train_sample,no_mean_supervision,6,0.017751795708663587,19.354872924158702,32.42822293788784
val_cpg_x_train_sample,no_mean_supervision,7,0.025473815301283453,14.806246211966606,26.996822509874036
val_cpg_x_train_sample,no_mean_supervision,8,0.033803782055203985,14.99823892298112,27.236926213929525
val_cpg_x_train_sample,no_mean_supervision,9,0.04378485646314375,12.754875240810277,25.598417403718283
val_cpg_x_train_sample,no_mean_supervision,10,0.06096106787136735,10.423284512429905,29.077342917468897
val_cpg_x_train_sample,no_mean_branch,1,4.368181204256769e-05,57.04421244934713,25.178740514863943
val_cpg_x_train_sample,no_mean_branch,2,0.00024584494067780263,59.9917876289468,48.591241781554814
val_cpg_x_train_sample,no_mean_branch,3,0.0014788664406402913,48.59422202403132,45.42159768513654
val_cpg_x_train_sample,no_mean_branch,4,0.004837865085119075,37.88180374696396,43.18391211911398
val_cpg_x_train_sample,no_mean_branch,5,0.0104190933765949,36.20616255756823,40.990225727154666
val_cpg_x_train_sample,no_mean_branch,6,0.017751795708663587,28.538275145468983,39.54682954154844
val_cpg_x_train_sample,no_mean_branch,7,0.025473815301283453,23.71087908546659,37.28851659399763
val_cpg_x_train_sample,no_mean_branch,8,0.033803782055203985,20.44752630276263,34.055526862633364
val_cpg_x_train_sample,no_mean_branch,9,0.04378485646314375,18.5712781321647,33.89949069595068
val_cpg_x_train_sample,no_mean_branch,10,0.06096106787136735,13.475263137802386,35.4505050818718
val_cpg_x_val_sample,no_mean_supervision,1,2.9898288010351724e-05,80.6439341240136,68.33944716419377
val_cpg_x_val_sample,no_mean_supervision,2,0.00022542071796925267,55.09531332135947,51.732710168789914
val_cpg_x_val_sample,no_mean_supervision,3,0.0014974544840750006,32.86420830377971,44.71934031866708
val_cpg_x_val_sample,no_mean_supervision,4,0.004865019817078653,29.776383444996103,41.1798647596611
val_cpg_x_val_sample,no_mean_supervision,5,0.010502308727746157,23.55375485101067,34.43903256968732
val_cpg_x_val_sample,no_mean_supervision,6,0.018108144633358414,18.05883913075358,31.49256426499397
val_cpg_x_val_sample,no_mean_supervision,7,0.02621970550377753,13.38898675998368,26.229263599023408
val_cpg_x_val_sample,no_mean_supervision,8,0.03463441823407958,14.646846272910846,28.41718094349542
val_cpg_x_val_sample,no_mean_supervision,9,0.04486016026621735,12.015564177864457,24.68241864682115
val_cpg_x_val_sample,no_mean_supervision,10,0.06256373031570656,9.550597731364368,28.746539744671743
val_cpg_x_val_sample,no_mean_branch,1,2.9898288010351724e-05,43.61764776132574,21.598937642459212
val_cpg_x_val_sample,no_mean_branch,2,0.00022542071796925267,56.84947121711796,48.793742044462775
val_cpg_x_val_sample,no_mean_branch,3,0.0014974544840750006,40.234895376742315,44.23981003154963
val_cpg_x_val_sample,no_mean_branch,4,0.004865019817078653,37.73915963505314,43.18966373629385
val_cpg_x_val_sample,no_mean_branch,5,0.010502308727746157,34.137868360439136,41.965084530884056
val_cpg_x_val_sample,no_mean_branch,6,0.018108144633358414,28.373572410340078,39.71273510326387
val_cpg_x_val_sample,no_mean_branch,7,0.02621970550377753,22.165973101556496,36.65386896513
val_cpg_x_val_sample,no_mean_branch,8,0.03463441823407958,18.64557850132985,33.86476515274709
val_cpg_x_val_sample,no_mean_branch,9,0.04486016026621735,17.816595249325204,33.67515789359462
val_cpg_x_val_sample,no_mean_branch,10,0.06256373031570656,12.51251098474637,35.03040213363495
