family,panel,mse_mean,mae_mean,prior_mse_mean,skill_vs_prior_mean,dynamic_skill_mean,dynamic_pearson_mean,dynamic_spearman_mean,within_cancer_skill_mean,within_cancer_pearson_mean,within_cancer_spearman_mean,dynamic_calibration_alpha_mean,dynamic_amplitude_ratio_mean,sample_win_fraction_mean,cpg_win_fraction_mean,macro_cancer_mse_mean,macro_cancer_skill_vs_prior_mean,mse_std,mae_std,prior_mse_std,skill_vs_prior_std,dynamic_skill_std,dynamic_pearson_std,dynamic_spearman_std,within_cancer_skill_std,within_cancer_pearson_std,within_cancer_spearman_std,dynamic_calibration_alpha_std,dynamic_amplitude_ratio_std,sample_win_fraction_std,cpg_win_fraction_std,macro_cancer_mse_std,macro_cancer_skill_vs_prior_std,n_seeds
prior_reference,locus_ood,0.027386690314053906,0.10563375408189411,0.027386690314053906,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.02856246952818228,0.0,,,,,,,,,,,,,,,,,1
prior_reference,sample_ood,0.030220670262687214,0.11682403729869109,0.030220670262687214,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.03157574489873742,0.0,,,,,,,,,,,,,,,,,1
rna_linear_real,double_ood,0.024549666632499727,0.09294532827579984,0.0273785206113862,0.10332384349905344,0.18908128309117742,0.4363798220691218,0.36820129671994345,0.13696866085233292,0.3702395026083598,0.2787118137636439,0.9282635534962415,0.470422092132827,0.7954911433172303,0.6583493282149712,0.02529982899761613,0.1087293270211402,7.517501280681726e-05,0.0005019472441446262,0.0,0.0027457660650793136,0.009659957381278766,0.009679543121863015,0.01194891642555357,0.006112938987618056,0.008471146735977991,0.009930447892634628,0.03959000421659813,0.012419098862683846,0.013734880925307533,0.00507821748764795,0.00011578985414310238,0.0032023863734365774,3
rna_linear_real,in_distribution,0.02436125106342928,0.09776318654865312,0.030564779985101136,0.2029420471528176,0.25782193000741854,0.5078343342057411,0.44663867078907643,0.1643237112990982,0.40539148900061045,0.33213966531912975,0.9864941456223911,0.5148421961205499,0.9821558963125229,0.734375,0.02554977616805935,0.19749622413903845,0.0005749915932842184,0.0019284910784653495,0.0003918119254062368,0.017391053179032095,0.015375610053232288,0.015026815627497192,0.017613697190545303,0.012284062093831713,0.015469555912276917,0.0156013148234082,0.03166475153554782,0.006904021847077689,0.010930917603449882,0.015347884419435265,0.0006808371476707815,0.01660874985088467,3
rna_linear_real,locus_ood,0.024496732911075552,0.09289718060404704,0.027386690314053903,0.10552415680164644,0.19346257122602828,0.4411056704606961,0.36888440845997544,0.13595901365197202,0.36889811837517783,0.2887511679095684,0.9355992109227618,0.47175291189904817,0.775009127418766,0.6647472808701216,0.02530090531444149,0.10925536156061366,0.00011064177735516308,0.0006106425742592869,0.0,0.004039983513392454,0.013163234719071574,0.013466245090531478,0.014372699597588521,0.008341118752831741,0.011594745835571003,0.011392829048031072,0.04313765389282954,0.011464945069211476,0.015218927329682738,0.0011081579063140117,0.00018794609230636292,0.005696752448743862,3
rna_linear_real,sample_ood,0.024210667545194086,0.09729294884881678,0.030129142482141075,0.19643813582659375,0.2532173232940881,0.5035363481066273,0.442955607112235,0.1619819344846737,0.40261104216456456,0.31770911213977066,0.9980878849734015,0.5049662712769497,0.9838969404186795,0.7376302083333334,0.025336140085614578,0.19100932016775854,0.0005807934368298349,0.0013537028056411476,0.0006721825916226645,0.0071209563730882846,0.0110445865572195,0.010706766225014664,0.018196322764243086,0.0059920326532428205,0.007685371796869377,0.012823000983602995,0.04808083006647925,0.01490191868657723,0.009761961073254522,0.01806860558122126,0.0005228024958782795,0.003383824024220354,3
rna_linear_shuffle_global,double_ood,0.028250475013772116,0.10090915813199165,0.0273785206113862,-0.03184811972723178,-0.0012350641724539664,0.005836351084933418,0.008244384422193727,-0.0021879070861094974,0.006439414172635233,0.0061115014498212125,0.10171456741215738,0.04280220162934026,0.3502415458937198,0.4606525911708253,0.029501002118786816,-0.026334302690539397,3.0354607142381297e-05,0.0007067243941520919,0.0,0.0011087015099624888,0.0010194072919488906,0.0175108971206285,0.0103218850363306,0.0010858274769563897,0.01608608608132848,0.012068474591234533,0.42536931113151494,0.007410858693542784,0.037653278425410386,0.018509886297491267,6.264007083697233e-05,0.002278930158481101,3
rna_linear_shuffle_global,in_distribution,0.02999027940575169,0.10969483431711176,0.030564779985101136,0.01874780279337318,0.000847924178089395,0.03186383041508409,0.03350770855851989,-0.0006364925035110177,0.02192347663669456,0.022978663971461893,0.7505005564820654,0.04328339700141723,0.6766611902154072,0.48046875,0.031350966737686115,0.023335997450270974,0.00025050172125902547,0.00141976211559211,0.0003918119254062368,0.0071787120638212455,0.0002146096449149399,0.0012944677636386852,0.004254738269020212,0.0006243095273758445,0.003100160291795361,0.0033683694384206934,0.1416431534128548,0.006825693702916123,0.0604424672648717,0.011840191067365372,0.0003625915651481137,0.007330166338758962,3
rna_linear_shuffle_global,locus_ood,0.028256833492954946,0.1009088615346478,0.027386690314053903,-0.0317724839665825,0.0007411528017953565,0.03051954373579477,0.03057649405850044,-0.0007140868554482335,0.021019945535560646,0.021163219979767584,0.7327501453025823,0.04258784040309727,0.32543811610076673,0.454254638515675,0.029353496032812083,-0.024437905812518066,1.6188227476088515e-05,0.0007017459265342766,0.0,0.0005910983507116813,0.00033623095747871434,0.0027784428373743212,0.003085248919195198,0.0007808110974802186,0.003409614027845533,0.0027762729845288276,0.16755934012956467,0.00673868832901276,0.030091529946990693,0.019699045832809535,4.070261812417888e-05,0.0016545538162960516,3
rna_linear_shuffle_global,sample_ood,0.029603070396651925,0.10921472123739383,0.030129142482141075,0.01749005179715109,-0.0011398321707332866,0.006228409354851341,0.008411458247992444,-0.002332125880423641,0.004251587007432715,0.003810019971455206,0.10684609804393841,0.04228887087698896,0.6916264090177133,0.4889322916666667,0.030981383849480962,0.02326088795188917,0.0008252424388591872,0.0025219997303992893,0.0006721825916226645,0.013877768577743683,0.0012804113003657366,0.02060704088761119,0.015300310249223853,0.0012790552548266683,0.01834661612684539,0.014599791393428018,0.49741293721203245,0.007128951407942478,0.08700124096128886,0.02315778178624012,0.0008060512101700959,0.010933043420421215,3
rna_linear_shuffle_within_cancer,double_ood,0.02680783861792618,0.09745756646821675,0.0273785206113862,0.020844150111700637,0.08526898138169577,0.2923426114845035,0.23740329732194496,-0.013747360115974994,-0.00012702353071211472,0.009262728747252475,0.9472588789782548,0.30857035135198035,0.5410628019323672,0.5655790147152912,0.027836979994878885,0.02102570279964092,7.324760873705219e-05,0.0001595867190393106,0.0,0.0026753676641896973,0.011172411826796003,0.01841733343720919,0.016042024814589526,0.002630365309349935,0.013406250901308826,0.006285664201164015,0.05074549688809284,0.008014325496856687,0.03508656774476804,0.02313901640438273,7.125108496046633e-05,0.004985111463563857,3
rna_linear_shuffle_within_cancer,in_distribution,0.027069307685025943,0.10322076539303604,0.030564779985101136,0.11427292027337695,0.1337536669380571,0.36703382645382315,0.313660014909616,0.0004787977474208782,0.06637833212615203,0.06054496634937697,1.0881046142562694,0.3377246207040216,0.8769623950346842,0.6357421875,0.028435148138656424,0.10893725266592114,0.0004217121249101977,0.0012282121942536512,0.0003918119254062368,0.0173951913168358,0.018044222436412564,0.027115169698512128,0.02182360579577337,0.0059813802995696145,0.022974478522552758,0.01676946091416357,0.09240999654545166,0.015852549620364465,0.057905919339857906,0.014778072217208551,0.00032691015568675654,0.016607470229324593,3
rna_linear_shuffle_within_cancer,locus_ood,0.02670813030487976,0.09720280405033394,0.027386690314053903,0.024776999388857506,0.09277956385855017,0.30461338230916574,0.24638514778658505,-0.00047367009242778774,0.05632763025119928,0.05164281136654659,0.9809421383475874,0.3105414123504842,0.5373767798466593,0.5674984005118362,0.027690496716264664,0.027283998638354515,2.4904766007762904e-05,0.00010079906892669845,0.0,0.0009093747992974574,0.01396671185128118,0.022708563371059975,0.018907089572535802,0.004977537708578613,0.01990675294675873,0.013959147895291174,0.07120312712410179,0.0068853399608514556,0.02586029052798358,0.02430380027283759,3.6883910489026586e-05,0.0016426753530352927,3
rna_linear_shuffle_within_cancer,sample_ood,0.02689896703937829,0.1028977499166731,0.030129142482141075,0.10730396727212847,0.12472947923076276,0.3533768135385826,0.3007249041071008,-0.016376970301170173,6.24042354272775e-05,0.011752087983544811,1.0590754040440522,0.3334958343867929,0.8856682769726248,0.6344401041666666,0.02820031795975869,0.10257058143916596,0.0010135006467915113,0.0030263444612047283,0.0006721825916226645,0.0224773707481639,0.014213934106791847,0.02079789987288192,0.018434683213107168,0.004576234227915961,0.018242978122530163,0.009622975239387087,0.020915403687511762,0.01331503083648328,0.05763455770748237,0.02362662410367715,0.0010794507464225063,0.021286909503344,3
rna_mlp_real,double_ood,0.025103577833871446,0.09362954201789576,0.0273785206113862,0.08309224628333833,0.17037917241825581,0.41698144322430614,0.353199104666367,0.12462980154538865,0.35310799572486506,0.2658226674668432,0.8741805504611859,0.47696273147324125,0.7117552334943639,0.6340371081253998,0.025822470591589763,0.09057842170045925,0.00020333661322624125,0.0006061302475830511,0.0,0.00742686634213822,0.021243675918725485,0.02317747366554663,0.01691638046124332,0.011833444845457832,0.017175925200038633,0.012232025336621362,0.041704861061367615,0.012102607754546215,0.024194813528690344,0.014533354691747314,0.0002432496257689712,0.0065354658107208505,3
rna_mlp_real,in_distribution,0.024946536567625206,0.09827247325955586,0.030564779985101136,0.1837693428512552,0.23455280279719437,0.485407451766853,0.42651657234126955,0.15153780348590606,0.389144048596804,0.32105284721885924,0.9276688881188617,0.5230910365187404,0.9618473895582329,0.7125651041666666,0.026115060126302863,0.17960730506033715,0.0009014044263333573,0.0024141556057093293,0.0003918119254062368,0.029538019285433027,0.02701370780141146,0.027379013077775186,0.0266601031501299,0.016307457948217776,0.0214442464234732,0.0192331231631565,0.029766771315340283,0.018766984248237854,0.03320383207651525,0.028342753321666966,0.0009982131339532692,0.0277094797959645,3
rna_mlp_real,locus_ood,0.025062392991067255,0.09357466090090714,0.027386690314053903,0.08486959527905806,0.17430650039219023,0.42115452311813356,0.35528072278612655,0.12497720614795975,0.3532581480090547,0.28019951605701643,0.8801718284915626,0.47833315807466675,0.6924972617743702,0.635956493921945,0.02584448491057174,0.09004453987885125,0.0002830389921291596,0.000698057374652465,0.0,0.010334910457723865,0.025449762939761842,0.027714956580428423,0.021816702264684025,0.013099346741390839,0.018834283967250388,0.01586802809682393,0.04651203693155972,0.011822134846072122,0.012413708973219466,0.016324185313081357,0.00036361137713992667,0.011228616149444872,3
rna_mlp_real,sample_ood,0.024781580007007,0.09783917245504199,0.030129142482141075,0.17737569393118083,0.2313501071384241,0.4822693498717367,0.4226099335860281,0.1505372508266488,0.3880326953753763,0.3061264950037759,0.9399661602945657,0.5133857671559101,0.9685990338164251,0.7164713541666666,0.025805200687102795,0.17558707168008034,0.00035138400983001316,0.0013800104041331218,0.0006721825916226645,0.008800474612433653,0.02263718873133506,0.021463634931499245,0.024448462601152656,0.010327086648219377,0.01358435448862404,0.016859481804792204,0.05596145251850614,0.00814086262740453,0.018236315061040464,0.034406797556572416,0.00036412338389149324,0.005796727117914998,3
