arm,seed,view,mas_pcc,mac_pcc,mse,mae,skill_vs_prior,median_abs_locus_bias,checkpoint_epoch,run_id
full_reference,17,train_cpg_x_val_sample,0.7003190282915847,0.9635528079949511,0.010915981050011861,0.06319063350776229,0.53085096346714,,80,ref-locus-attn-k64-noproduct-seed17
full_reference,17,val_cpg_x_train_sample,0.6287833692282582,0.9527349772455773,0.013476297708326989,0.06820948803059732,0.5082001401489571,0.017750624069382014,80,ref-locus-attn-k64-noproduct-seed17
full_reference,17,val_cpg_x_val_sample,0.5861018191514147,0.9511332047702776,0.014220227168517738,0.07039351772139786,0.47764933647601227,0.017889880577025275,80,ref-locus-attn-k64-noproduct-seed17
full_reference,29,train_cpg_x_val_sample,0.7015216830897485,0.9635324684262081,0.010882273400461684,0.06292003727614702,0.5322996570144998,,80,ref-locus-attn-k64-noproduct-seed29
full_reference,29,val_cpg_x_train_sample,0.6293902064406225,0.9529490925927426,0.01343494823637012,0.06797454213592763,0.5097091350489983,0.01788509296067528,80,ref-locus-attn-k64-noproduct-seed29
full_reference,29,val_cpg_x_val_sample,0.5859353913884094,0.9511554294156443,0.01415509469488355,0.07013023165483648,0.48004184331972133,0.01776694571741396,80,ref-locus-attn-k64-noproduct-seed29
full_reference,43,train_cpg_x_val_sample,0.7021594844796029,0.9637405490157311,0.010893022270820566,0.06355428414519737,0.5318376900919133,,80,ref-locus-attn-k64-noproduct-seed43
full_reference,43,val_cpg_x_train_sample,0.6299304619331025,0.9529397889286362,0.013433842469189841,0.06856664218408881,0.5097494885760618,0.018494788383520838,80,ref-locus-attn-k64-noproduct-seed43
full_reference,43,val_cpg_x_val_sample,0.5870785876948117,0.951064013514888,0.01414843087997846,0.07066813585801293,0.4802866247916363,0.018223321004743442,80,ref-locus-attn-k64-noproduct-seed43
no_mean_branch,17,train_cpg_x_val_sample,0.7043489646235273,0.9601635493860285,0.011902517468436987,0.06950927068812679,0.48845142025721267,,80,mean-no-branch-seed17
no_mean_branch,17,val_cpg_x_train_sample,0.6217839702548461,0.938794038227485,0.017413219070575293,0.08102590059362538,0.36452734394752473,0.03116897896596516,80,mean-no-branch-seed17
no_mean_branch,17,val_cpg_x_val_sample,0.5811452693842607,0.9369245524559947,0.018131706321571024,0.08268369950491965,0.3339692315982925,0.031672216974015566,80,mean-no-branch-seed17
no_mean_branch,29,train_cpg_x_val_sample,0.705642539042937,0.9601983976061256,0.01183721056039403,0.06942595087704569,0.4912581925342,,80,mean-no-branch-seed29
no_mean_branch,29,val_cpg_x_train_sample,0.6236389852345396,0.9390486889072072,0.017338169319003602,0.08087198077553455,0.3672661864771022,0.031463485477941824,80,mean-no-branch-seed29
no_mean_branch,29,val_cpg_x_val_sample,0.5805004520345663,0.9366679610288549,0.01804794280391413,0.08250698565619285,0.3370461113491342,0.03200899210833581,80,mean-no-branch-seed29
no_mean_branch,43,train_cpg_x_val_sample,0.7052702906243344,0.9599875271479457,0.01185232187840844,0.06966451396496731,0.49060873553581197,,80,mean-no-branch-seed43
no_mean_branch,43,val_cpg_x_train_sample,0.625366973028243,0.938583520825464,0.017417916729803463,0.08120299053140682,0.36435590901783965,0.03143221638550361,80,mean-no-branch-seed43
no_mean_branch,43,val_cpg_x_val_sample,0.5815373733811012,0.936391310739078,0.018113438789801335,0.08281698758724516,0.33464025163389133,0.032079164778777175,80,mean-no-branch-seed43
no_mean_supervision,17,train_cpg_x_val_sample,0.7018325209567449,0.9634525879581234,0.010967157952377479,0.0643184150024223,0.5286514731668578,,80,mean-no-supervision-seed17
no_mean_supervision,17,val_cpg_x_train_sample,0.6279492447210892,0.9427687841444423,0.016214831058770942,0.07875240872887726,0.4082609471231492,0.030814371306553734,80,mean-no-supervision-seed17
no_mean_supervision,17,val_cpg_x_val_sample,0.5840669346871229,0.9404058303279803,0.01694786676848075,0.08064450551407666,0.37745513155857435,0.03062101433810443,80,mean-no-supervision-seed17
no_mean_supervision,29,train_cpg_x_val_sample,0.7012356459483451,0.9635486487088747,0.010953131278949625,0.06459417195174964,0.5292543141111843,,80,mean-no-supervision-seed29
no_mean_supervision,29,val_cpg_x_train_sample,0.6274344127137124,0.9420183529010843,0.016353916988328516,0.07930404646181913,0.40318518802787473,0.03141615304080137,80,mean-no-supervision-seed29
no_mean_supervision,29,val_cpg_x_val_sample,0.5819076228855014,0.9398230357251411,0.017084381816002626,0.0812162507425469,0.37244053335215954,0.031496012532625295,80,mean-no-supervision-seed29
no_mean_supervision,43,train_cpg_x_val_sample,0.7010304273732224,0.9635746497737318,0.010937357207069386,0.06461506051747563,0.5299322550668262,,80,mean-no-supervision-seed43
no_mean_supervision,43,val_cpg_x_train_sample,0.6314503864012707,0.9425407824366658,0.016197003582303353,0.0789340115443454,0.408911537561118,0.03156292931657034,80,mean-no-supervision-seed43
no_mean_supervision,43,val_cpg_x_val_sample,0.5879700186050868,0.9402530700762693,0.016927802924479717,0.0808664201078542,0.37819213541249197,0.031312085682258316,80,mean-no-supervision-seed43
