view,comparator,decile,target_variance_median,mse_reduction_pct_full_vs_comparator,abs_bias_reduction_pct_full_vs_comparator
val_cpg_x_train_sample,no_mean_supervision,1,4.307519467864479e-05,71.50407774310774,59.14863993275094
val_cpg_x_train_sample,no_mean_supervision,2,0.00024232673205673745,55.352648242000036,52.83571035396859
val_cpg_x_train_sample,no_mean_supervision,3,0.001422464926612352,42.58336011097672,49.38441923504264
val_cpg_x_train_sample,no_mean_supervision,4,0.0049573848368230315,29.947196681219697,42.354952032269665
val_cpg_x_train_sample,no_mean_supervision,5,0.010415718898289572,25.556092483000253,36.82837196225993
val_cpg_x_train_sample,no_mean_supervision,6,0.017703749916957612,21.284097960572332,35.53506506007042
val_cpg_x_train_sample,no_mean_supervision,7,0.025486685302345102,17.055001593736293,29.919545001164323
val_cpg_x_train_sample,no_mean_supervision,8,0.0332782503884535,16.382382306116657,29.00183421887939
val_cpg_x_train_sample,no_mean_supervision,9,0.04351801624055675,13.292199253003988,28.286003210675577
val_cpg_x_train_sample,no_mean_supervision,10,0.06007572674970072,10.856592205642094,28.199701200161275
val_cpg_x_train_sample,no_mean_branch,1,4.307519467864479e-05,57.72332993970248,21.95142351916892
val_cpg_x_train_sample,no_mean_branch,2,0.00024232673205673745,61.46302099916588,50.73184898325981
val_cpg_x_train_sample,no_mean_branch,3,0.001422464926612352,51.56314421980333,51.41456668481583
val_cpg_x_train_sample,no_mean_branch,4,0.0049573848368230315,39.02465932333117,45.802323438379204
val_cpg_x_train_sample,no_mean_branch,5,0.010415718898289572,33.972695316283534,41.76419823652894
val_cpg_x_train_sample,no_mean_branch,6,0.017703749916957612,29.141837836447426,41.75569163113037
val_cpg_x_train_sample,no_mean_branch,7,0.025486685302345102,22.066618862275078,34.899211698992886
val_cpg_x_train_sample,no_mean_branch,8,0.0332782503884535,19.46761979536773,33.0273051567755
val_cpg_x_train_sample,no_mean_branch,9,0.04351801624055675,19.188638059965307,36.133290153928876
val_cpg_x_train_sample,no_mean_branch,10,0.06007572674970072,14.168876015658071,34.440585972596836
val_cpg_x_val_sample,no_mean_supervision,1,2.0547157867385117e-05,72.47707672406958,59.50946670275714
val_cpg_x_val_sample,no_mean_supervision,2,0.00019497153202377806,54.8817556422315,53.430868253379415
val_cpg_x_val_sample,no_mean_supervision,3,0.0014650134969433149,38.34919939549575,48.16326553705752
val_cpg_x_val_sample,no_mean_supervision,4,0.004897597421547678,30.88065948579961,42.826328250400685
val_cpg_x_val_sample,no_mean_supervision,5,0.010424268021074034,23.715736788924627,37.5923609829888
val_cpg_x_val_sample,no_mean_supervision,6,0.017508787004075543,19.831437826098526,34.492365152027524
val_cpg_x_val_sample,no_mean_supervision,7,0.025189856603764976,17.356085410650138,29.569745245724548
val_cpg_x_val_sample,no_mean_supervision,8,0.032831423252172476,15.341684599799159,29.569751755956258
val_cpg_x_val_sample,no_mean_supervision,9,0.04279224251655603,12.706908651312435,27.68794888009792
val_cpg_x_val_sample,no_mean_supervision,10,0.05975879969499316,10.653407744340429,28.506604695365038
val_cpg_x_val_sample,no_mean_branch,1,2.0547157867385117e-05,36.939369855154865,9.28142675767515
val_cpg_x_val_sample,no_mean_branch,2,0.00019497153202377806,61.630033858733405,55.135860895258425
val_cpg_x_val_sample,no_mean_branch,3,0.0014650134969433149,46.6967048844715,50.600585005151665
val_cpg_x_val_sample,no_mean_branch,4,0.004897597421547678,39.34811249796171,46.29319787636407
val_cpg_x_val_sample,no_mean_branch,5,0.010424268021074034,32.465539503955846,43.67153181395406
val_cpg_x_val_sample,no_mean_branch,6,0.017508787004075543,27.241370784619143,40.362436749017576
val_cpg_x_val_sample,no_mean_branch,7,0.025189856603764976,22.729923736038334,35.52282664529116
val_cpg_x_val_sample,no_mean_branch,8,0.032831423252172476,17.984261608401535,33.30299582237449
val_cpg_x_val_sample,no_mean_branch,9,0.04279224251655603,18.554120123833467,35.83419023381351
val_cpg_x_val_sample,no_mean_branch,10,0.05975879969499316,13.623948752405436,34.35835787113624
