family,panel,mse_mean,mae_mean,prior_mse_mean,skill_vs_prior_mean,dynamic_skill_mean,dynamic_pearson_mean,dynamic_spearman_mean,within_cancer_skill_mean,within_cancer_pearson_mean,within_cancer_spearman_mean,dynamic_calibration_alpha_mean,dynamic_amplitude_ratio_mean,sample_win_fraction_mean,cpg_win_fraction_mean,macro_cancer_mse_mean,macro_cancer_skill_vs_prior_mean,num_parameters_mean,elapsed_seconds_mean,mse_std,mae_std,prior_mse_std,skill_vs_prior_std,dynamic_skill_std,dynamic_pearson_std,dynamic_spearman_std,within_cancer_skill_std,within_cancer_pearson_std,within_cancer_spearman_std,dynamic_calibration_alpha_std,dynamic_amplitude_ratio_std,sample_win_fraction_std,cpg_win_fraction_std,macro_cancer_mse_std,macro_cancer_skill_vs_prior_std,num_parameters_std,elapsed_seconds_std,n_seeds
c0,double_ood,0.02421008219169525,0.09248897025716289,0.0273785206113862,0.11572715942779092,0.21049812505928545,0.4593327712845762,0.3907178837727599,0.15680713833345272,0.39607673232310764,0.3008855992879401,0.9542577978830153,0.4813892700509666,0.8438003220611917,0.689059500959693,0.024903264508769188,0.12102753726980914,1748229.0,84.83284831047058,8.066395577185005e-05,0.00014659469843281785,0.0,0.0029462496135859418,0.003408726120994312,0.0038470070749987172,0.003330596569031202,0.0032186970010628316,0.003983069794665291,0.003634520570353984,0.008105454310432766,0.0074351190445656025,0.016965626011035007,0.0038387715930902344,4.15167453869499e-05,0.0016122513575146658,0.0,0.8597350999112346,3
c0,in_distribution,0.023495472503640966,0.09638566379424833,0.030564779985101136,0.23129380472974712,0.2868927064528931,0.5356502831902523,0.47527087115427524,0.19820626895038584,0.44528342955754563,0.3662174119712828,1.016079823739516,0.5271675615739405,0.998311427528295,0.7646484375,0.02457642680646222,0.227439738871554,1748229.0,84.83284831047058,0.0003833816650616993,0.0009921963777767958,0.0003918119254062368,0.006993525378162029,0.009217702210797213,0.008604094224366202,0.006027547770107307,0.004734536412688522,0.0054361482285251285,0.0028924317460396554,0.005638098909829878,0.007342298573260401,0.0013297555936776825,0.007751224544134543,0.00039574797511482786,0.007653800671976929,0.0,0.8597350999112346,3
c0,locus_ood,0.02403427422885793,0.0921884529082403,0.027386690314053903,0.1224104134801433,0.22196904753993732,0.47131450504436073,0.3975398706720978,0.16620854902487045,0.40781469142250243,0.3221054740075041,0.9730353669515158,0.48439689977751116,0.8337440671778021,0.6922584772872681,0.02476771269066259,0.12733908964815233,1748229.0,84.83284831047058,9.014414858848822e-05,0.00013903783847487938,0.0,0.003291531307900703,0.003120758425846435,0.0033819199163262078,0.0025183251959369625,0.0033246926925203733,0.0041634277697167954,0.0027653131087269586,0.005164857887032043,0.006055401057802672,0.020114934156717234,0.004830348327108629,5.299710351185138e-05,0.0020016017135852495,0.0,0.8597350999112346,3
c0,sample_ood,0.023595316409621283,0.09638230476228442,0.030129142482141075,0.21709758441772853,0.2749240120300306,0.5243942759774217,0.46354895947062486,0.18373683416635025,0.42869340458786503,0.33902293597351524,1.0163939389609837,0.5161798994784955,0.9967793880837359,0.7578125,0.024649543887563897,0.2118202425098412,1748229.0,84.83284831047058,0.0010397190928901274,0.0028592227102277423,0.0006721825916226645,0.01837742413709002,0.010476779966479815,0.009843927708150459,0.0008655147644612108,0.006507304776140508,0.007643148928485044,0.0014837968281340307,0.019066310051910305,0.01950599966954221,0.0027891317352155957,0.014185389693685498,0.0010306017943611124,0.017268544666181412,0.0,0.8597350999112346,3
c0_lr2e-4,double_ood,0.024549666632499727,0.09294532827579984,0.0273785206113862,0.10332384349905344,0.18908128309117742,0.4363798220691218,0.36820129671994345,0.13696866085233292,0.3702395026083598,0.2787118137636439,0.9282635534962415,0.470422092132827,0.7954911433172303,0.6583493282149712,0.02529982899761613,0.1087293270211402,1748229.0,99.80471110343933,7.517501280681726e-05,0.0005019472441446262,0.0,0.0027457660650793136,0.009659957381278766,0.009679543121863015,0.01194891642555357,0.006112938987618056,0.008471146735977991,0.009930447892634628,0.03959000421659813,0.012419098862683846,0.013734880925307533,0.00507821748764795,0.00011578985414310238,0.0032023863734365774,0.0,1.408588938289851,3
c0_lr2e-4,in_distribution,0.02436125106342928,0.09776318654865312,0.030564779985101136,0.2029420471528176,0.25782193000741854,0.5078343342057411,0.44663867078907643,0.1643237112990982,0.40539148900061045,0.33213966531912975,0.9864941456223911,0.5148421961205499,0.9821558963125229,0.734375,0.02554977616805935,0.19749622413903845,1748229.0,99.80471110343933,0.0005749915932842184,0.0019284910784653495,0.0003918119254062368,0.017391053179032095,0.015375610053232288,0.015026815627497192,0.017613697190545303,0.012284062093831713,0.015469555912276917,0.0156013148234082,0.03166475153554782,0.006904021847077689,0.010930917603449882,0.015347884419435265,0.0006808371476707815,0.01660874985088467,0.0,1.408588938289851,3
c0_lr2e-4,locus_ood,0.024496732911075552,0.09289718060404704,0.027386690314053903,0.10552415680164644,0.19346257122602828,0.4411056704606961,0.36888440845997544,0.13595901365197202,0.36889811837517783,0.2887511679095684,0.9355992109227618,0.47175291189904817,0.775009127418766,0.6647472808701216,0.02530090531444149,0.10925536156061366,1748229.0,99.80471110343933,0.00011064177735516308,0.0006106425742592869,0.0,0.004039983513392454,0.013163234719071574,0.013466245090531478,0.014372699597588521,0.008341118752831741,0.011594745835571003,0.011392829048031072,0.04313765389282954,0.011464945069211476,0.015218927329682738,0.0011081579063140117,0.00018794609230636292,0.005696752448743862,0.0,1.408588938289851,3
c0_lr2e-4,sample_ood,0.024210667545194086,0.09729294884881678,0.030129142482141075,0.19643813582659375,0.2532173232940881,0.5035363481066273,0.442955607112235,0.1619819344846737,0.40261104216456456,0.31770911213977066,0.9980878849734015,0.5049662712769497,0.9838969404186795,0.7376302083333334,0.025336140085614578,0.19100932016775854,1748229.0,99.80471110343933,0.0005807934368298349,0.0013537028056411476,0.0006721825916226645,0.0071209563730882846,0.0110445865572195,0.010706766225014664,0.018196322764243086,0.0059920326532428205,0.007685371796869377,0.012823000983602995,0.04808083006647925,0.01490191868657723,0.009761961073254522,0.01806860558122126,0.0005228024958782795,0.003383824024220354,0.0,1.408588938289851,3
c0_lr2e-5,double_ood,0.02421008219169525,0.09248897025716289,0.0273785206113862,0.11572715942779092,0.21049812505928545,0.4593327712845762,0.3907178837727599,0.15680713833345272,0.39607673232310764,0.3008855992879401,0.9542577978830153,0.4813892700509666,0.8438003220611917,0.689059500959693,0.024903264508769188,0.12102753726980914,1748229.0,77.5621612071991,8.066395577185005e-05,0.00014659469843281785,0.0,0.0029462496135859418,0.003408726120994312,0.0038470070749987172,0.003330596569031202,0.0032186970010628316,0.003983069794665291,0.003634520570353984,0.008105454310432766,0.0074351190445656025,0.016965626011035007,0.0038387715930902344,4.15167453869499e-05,0.0016122513575146658,0.0,9.505825372892012,3
c0_lr2e-5,in_distribution,0.023495472503640966,0.09638566379424833,0.030564779985101136,0.23129380472974712,0.2868927064528931,0.5356502831902523,0.47527087115427524,0.19820626895038584,0.44528342955754563,0.3662174119712828,1.016079823739516,0.5271675615739405,0.998311427528295,0.7646484375,0.02457642680646222,0.227439738871554,1748229.0,77.5621612071991,0.0003833816650616993,0.0009921963777767958,0.0003918119254062368,0.006993525378162029,0.009217702210797213,0.008604094224366202,0.006027547770107307,0.004734536412688522,0.0054361482285251285,0.0028924317460396554,0.005638098909829878,0.007342298573260401,0.0013297555936776825,0.007751224544134543,0.00039574797511482786,0.007653800671976929,0.0,9.505825372892012,3
