family,seed,unit,mean_diff,ci_low,ci_high
c1_mlp64_v1,43,patient,-0.021043579922382045,-0.024184926649240667,-0.017362445680421678
c1_mlp64_v1,43,genomic_block,-0.021907826542596834,-0.04200076037435196,-0.004331947540658183
c1_mlp64_v2,17,patient,-0.0168363478528761,-0.020515095530855735,-0.013611196065835923
c1_mlp64_v2,17,genomic_block,-0.016160853033488923,-0.0327413056093161,0.003732670236730808
c1_mlp64_v2,29,patient,-0.031099330572164116,-0.03498404877682369,-0.02765670457632459
c1_mlp64_v2,29,genomic_block,-0.03057372692264716,-0.06024767867317972,-0.0019711517960951316
c1_mlp64_v2,43,patient,-0.019029977634750197,-0.02247954181439622,-0.015397063961017062
c1_mlp64_v2,43,genomic_block,-0.019127295055134958,-0.03911011389489534,0.001523097051759783
c1_mlp64_v3,17,patient,-0.028762530183857767,-0.03166537754911728,-0.025675649833761468
c1_mlp64_v3,17,genomic_block,-0.029094639773933957,-0.05301309430574364,-0.008049239075593276
c1_mlp64_v3,29,patient,-0.028664958202644957,-0.03223469258853696,-0.025152225959917115
c1_mlp64_v3,29,genomic_block,-0.02744497644338826,-0.048812615793272916,-0.005219025688544445
c1_mlp64_v3,43,patient,-0.021020303213171884,-0.02532998006640757,-0.01727813303438987
c1_mlp64_v3,43,genomic_block,-0.019614634889474476,-0.0406087588671453,0.0021722709206206787
c2_k4_v0,17,patient,-0.01907413784040126,-0.021671803789886823,-0.0162580086326903
c2_k4_v0,17,genomic_block,-0.018709450348031415,-0.03297718472559072,-0.0036432356419336437
c2_k4_v0,29,patient,-0.008591178510849885,-0.010725461987959952,-0.005953139316225036
c2_k4_v0,29,genomic_block,-0.008449705758969698,-0.02114812369873144,0.0039008768134834513
c2_k4_v0,43,patient,0.0027779619122663395,-3.172549806989828e-05,0.005654571338690572
c2_k4_v0,43,genomic_block,0.003033183394051617,-0.010122673317775041,0.01641702388735187
c2_k4_v1,17,patient,-0.011988593174337531,-0.015311260207756094,-0.008762780116872518
c2_k4_v1,17,genomic_block,-0.011983523760081605,-0.025767354677793217,0.0024120165709278574
c2_k4_v1,29,patient,-0.01525091426132351,-0.018573578798845004,-0.012251131223159208
c2_k4_v1,29,genomic_block,-0.014832641783370388,-0.03635026471501128,0.005974733407464319
c2_k4_v1,43,patient,-0.008532227638196917,-0.01144085900620033,-0.005557521893274606
c2_k4_v1,43,genomic_block,-0.008492487084104132,-0.02170145961363945,0.0044062388659316595
c2_k4_v2,17,patient,-0.01950651231705824,-0.021843069361138067,-0.017246354826720406
c2_k4_v2,17,genomic_block,-0.019624731411510898,-0.03527850061302099,-0.003808166737923361
c2_k4_v2,29,patient,-0.008395639702955877,-0.010531397517066573,-0.005780448755389084
c2_k4_v2,29,genomic_block,-0.00815260316845525,-0.021999905338900397,0.003842920784252841
c2_k4_v2,43,patient,0.0029462834555934333,-1.5497635757843957e-05,0.005760050451860124
c2_k4_v2,43,genomic_block,0.003056572046620152,-0.008278921276381083,0.016906548049788805
c2_k4_v3,17,patient,-0.011945390578061335,-0.014953483386107802,-0.00865774920222289
c2_k4_v3,17,genomic_block,-0.011895709056487454,-0.02774466609542084,0.0032226339154595926
c2_k4_v3,29,patient,-0.015220287589541186,-0.018169394459689778,-0.012271576069651575
c2_k4_v3,29,genomic_block,-0.015447058561937777,-0.03873196120091412,0.004370535532717002
c2_k4_v3,43,patient,-0.008531818544594501,-0.011673591579277174,-0.005726453932785914
c2_k4_v3,43,genomic_block,-0.007938824166428009,-0.022391941330313633,0.004530618408562717
