family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
c0_v1,double_ood,c0_v0,3,2.4425522979141846e-05,0.00017036214700651302,0.8270494349924161,-0.0008921418116720018,0.0062224745239033135,0.8270494349924191,0.0004562778286236746,0.0077289206601735445,0.9278852805169083,0.00048167301825419173,0.004962711105672302,0.8819592311416111
c0_v1,in_distribution,c0_v0,3,-0.00019407743011481035,0.00044590255394871977,0.5295956774857178,0.0063578697764620955,0.014625305118266664,0.5300412573815887,0.0044175227166454905,0.014976055321215674,0.660226742784242,0.0036378827483407226,0.010686345360861705,0.6151760343462127
c0_v1,locus_ood,c0_v0,3,-3.7087927393081775e-05,0.00017005809348460588,0.741942626349714,0.0013542318172725665,0.006209516065449383,0.7419426263497095,0.003203114513674351,0.007522008105113558,0.5375755644764817,0.003165413729529054,0.0071255057705845466,0.5220806782466758
c0_v1,sample_ood,c0_v0,3,-0.00013200904396101776,0.00048933706410819,0.6862793004553303,0.004182508048165483,0.016338234128442604,0.7008308831436978,0.0016092216980145106,0.012960500860494321,0.8496597037847248,0.0006614204368068736,0.006827453588455093,0.8821773231210127
c0_v2,double_ood,c0_v0,3,-4.4025967275868977e-07,1.0999784612734576e-05,0.9510391226563775,1.6080477064805976e-05,0.0004017669460254929,0.9510391226562553,7.288616808072874e-05,4.500788742348989e-05,0.1070758827149313,2.152620728312904e-05,5.6363541678830475e-05,0.5763080358108592
c0_v2,in_distribution,c0_v0,3,-1.3572111302456724e-06,4.523185506965899e-06,0.6550620439784492,4.492736052415699e-05,0.00014915883920059344,0.6538998100741193,4.308634037752945e-05,8.019838881095506e-05,0.45032769274495366,2.23129624266812e-05,4.811992275066921e-05,0.5061706347038133
c0_v2,locus_ood,c0_v0,3,1.0372743639019966e-07,1.0601870527389036e-05,0.9880181024841339,-3.7875126640181853e-06,0.0003871176255989218,0.988018102484155,8.498656257612443e-05,7.290244867788859e-05,0.18092208248014577,3.0273065889652173e-05,9.737724530799538e-05,0.6441665239865366
c0_v2,sample_ood,c0_v0,3,9.30776512577299e-09,9.17805339583834e-06,0.9987579469940775,-4.114686967704451e-06,0.000300913120302212,0.9832551827427529,2.1657032484985923e-05,7.290364004503625e-05,0.6580984110139789,2.8525858587813424e-05,4.971198875320051e-05,0.4250087594487414
c0_v3,double_ood,c0_v0,3,2.3655096628627293e-05,0.00016996706997041703,0.83197016064766,-0.0008640020023137721,0.006208044341874689,0.8319701606476638,0.00047169389222108854,0.007734557099087838,0.9255161052445915,0.0004921014521911404,0.004966359590311121,0.8795276354875496
c0_v3,in_distribution,c0_v0,3,-0.00019508938056720868,0.0004462630782222564,0.5279854963595989,0.006391013264325525,0.014637215129350222,0.5284342899132803,0.004440227016579978,0.014981127408036936,0.6587855246695209,0.0036524290206579138,0.010690116964007495,0.6139822602618138
c0_v3,locus_ood,c0_v0,3,-3.784682897756825e-05,0.00016967823287084772,0.7364760746034584,0.0013819424159533151,0.006195645801850444,0.7364760746034521,0.0032169301085609447,0.007527511021489592,0.5362759504012187,0.003177893366637504,0.0071279157918692675,0.5207536583272774
c0_v3,sample_ood,c0_v0,3,-0.00013303188227648555,0.0004896942461181128,0.6842977159683736,0.00421635419215316,0.01634966543811495,0.6988205868565995,0.0016317359881132438,0.012966587173356175,0.8476747155706618,0.0006739057186239498,0.006834479602639181,0.88010659327456
c1_mlp128_32,double_ood,c0_v0,3,0.0015045739067092352,0.000592171699777903,0.047951739205942624,-0.05495453637051199,0.021629061269717836,0.047951739205942895,-0.03881178948852263,0.020726995640324302,0.083352155758778,-0.03493423561644963,0.01646559736519304,0.06672476172662452
c1_mlp128_32,in_distribution,c0_v0,3,-0.0004939455788965028,0.0019818443535473147,0.7080490618656028,0.015651723183370454,0.06426916441995809,0.7141761020193911,-0.057188234134191385,0.03926645564755227,0.12772501747661127,-0.04948980082465052,0.02747525805023328,0.08920479820276143
c1_mlp128_32,locus_ood,c0_v0,3,0.0015689905025294594,0.0005373755101041674,0.03694804731715986,-0.057290256125776096,0.019621776269489723,0.036948047317159775,-0.04431783582232918,0.022116062112745083,0.07392424816885608,-0.04219160161951274,0.017481910187767395,0.052740987406705714
c1_mlp128_32,sample_ood,c0_v0,3,-0.0004014064933776905,0.0023065981829821047,0.7915455475525854,0.012315594817393602,0.07541932369041897,0.8038889048768298,-0.052598289610688985,0.04043793883662945,0.15304189412677666,-0.03927520086532229,0.02654772725731347,0.12448881775378533
c1_mlp64,double_ood,c0_v0,3,0.0005629282785024973,0.00026088329474600457,0.06471947785463181,-0.02056094580466065,0.009528757906572575,0.06471947785463285,-0.010417838471442694,0.002769315985882127,0.02275338605892666,-0.004572708559216247,0.0031668023389460776,0.12952759951437903
c1_mlp64,in_distribution,c0_v0,3,-0.0017605840539380452,0.0008352201996400352,0.06751002719408322,0.05748677269245731,0.02679290738142779,0.06538573302246646,-0.013462953356087604,0.012259525938844999,0.19750760481860094,-0.00706146620284646,0.008613113326127322,0.2914453474844726
c1_mlp64,locus_ood,c0_v0,3,0.0005073795431743862,0.00021892077640529699,0.0568190047678252,-0.01852650091544709,0.007993692333569596,0.056819004767825504,-0.010477466726580306,0.005412261677978412,0.07860157259632986,-0.004669088541731055,0.0060043109999851785,0.310341613873946
c1_mlp64,sample_ood,c0_v0,3,-0.0017803923452479424,0.0007457656235725156,0.05380891669830306,0.058764154183889326,0.023274336027572607,0.04851510385054531,-0.011195879062899686,0.012357068878087601,0.2571419487849904,-0.005383559212434201,0.007062368416704049,0.317574298240219
