family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
bottleneck016,double_ood,baseline_linear,3,0.00043858798337004695,0.00018682779348695188,0.05549779935983007,-0.016019418638260768,0.0068238819817478995,0.05549779935983007,-0.010424395148638502,0.008580881741556646,0.1700377624411163,-0.006113432927244977,0.005825398913275761,0.21074326727131082
bottleneck016,in_distribution,baseline_linear,3,-5.0683599081785775e-05,0.0007541655456167276,0.9179685793155744,0.0017029889323395553,0.024632438128250937,0.9156279246914718,-0.009770866057490557,0.02185105926476929,0.5196618528087038,-0.006832997776364887,0.01485684592122467,0.5092174792170527
bottleneck016,locus_ood,baseline_linear,3,0.00043681411471198475,0.0002515277019354357,0.09503123642451375,-0.015949868702748133,0.009184304457788343,0.09503123642451305,-0.010330894152045356,0.012602592539340542,0.29149141801827827,-0.006544883245967322,0.008391966692756145,0.309285394369486
bottleneck016,sample_ood,baseline_linear,3,0.00018084665468790298,0.00044147040547264343,0.5515626346947904,-0.005831740643340466,0.014719711547523986,0.5634511361835648,-0.01176973615022514,0.014593330981742255,0.2972553678658988,-0.006522389996529913,0.010290916242810623,0.38681449970371173
bottleneck032,double_ood,baseline_linear,3,0.00020205515603329582,2.003841267598075e-05,0.003262392357409309,-0.007380061139945789,0.0007319026824132356,0.0032623923574089326,0.00020526378366373757,0.008957122842771705,0.9719444722522141,0.0008157175292259714,0.007701761991924452,0.8713612151378068
bottleneck032,in_distribution,baseline_linear,3,-0.00026553203661338595,0.0007178007255204718,0.587316424911486,0.008711019446884535,0.02348685879953107,0.5864241603203112,0.0028775580309943205,0.021065796390551682,0.8349947909458538,0.002833960978744924,0.01604960919485317,0.7886268660632413
bottleneck032,locus_ood,baseline_linear,3,0.00019945792654169187,5.907894658088045e-05,0.02802096751989856,-0.007283024135243399,0.0021572138109205046,0.02802096751989824,0.0006500600439387124,0.01243570371549691,0.9361088786387004,0.0017331235698350156,0.010960780272592664,0.8098751076396735
bottleneck032,sample_ood,baseline_linear,3,-3.7776360698217604e-05,0.0004421010066214899,0.8959171917904762,0.0014516007042257122,0.014819904098286303,0.8808909706276558,0.0004023106807245676,0.013843253140986845,0.9644291613602223,0.0011702720349236657,0.011000783802494975,0.8708026449128234
bottleneck128,double_ood,baseline_linear,3,0.0003102816626603261,0.00012453746868701506,0.04972760493030249,-0.01133303245505842,0.004548728927129221,0.04972760493030331,-0.0031862460831558006,0.003112943537287688,0.2182595753841483,0.0003965977745443346,0.0007069897184836603,0.4337279660430985
bottleneck128,in_distribution,baseline_linear,3,-7.026162244957422e-05,1.0512161562405363e-05,0.007379019344666274,0.002298410054648703,0.00033852043729398025,0.007153423254194645,0.002470066505673089,0.0005547593439193841,0.016401465937356263,0.0026950385986623435,0.0016705380116255406,0.10776441189269854
