family,panel,mse_mean,mae_mean,prior_mse_mean,skill_vs_prior_mean,dynamic_skill_mean,dynamic_pearson_mean,dynamic_spearman_mean,within_cancer_skill_mean,within_cancer_pearson_mean,within_cancer_spearman_mean,dynamic_calibration_alpha_mean,dynamic_amplitude_ratio_mean,sample_win_fraction_mean,cpg_win_fraction_mean,macro_cancer_mse_mean,macro_cancer_skill_vs_prior_mean,num_parameters_mean,elapsed_seconds_mean,mse_std,mae_std,prior_mse_std,skill_vs_prior_std,dynamic_skill_std,dynamic_pearson_std,dynamic_spearman_std,within_cancer_skill_std,within_cancer_pearson_std,within_cancer_spearman_std,dynamic_calibration_alpha_std,dynamic_amplitude_ratio_std,sample_win_fraction_std,cpg_win_fraction_std,macro_cancer_mse_std,macro_cancer_skill_vs_prior_std,num_parameters_std,elapsed_seconds_std,n_seeds
baseline_linear,double_ood,0.024549666632499727,0.09294532827579984,0.0273785206113862,0.10332384349905344,0.18908128309117742,0.4363798220691218,0.36820129671994345,0.13696866085233292,0.3702395026083598,0.2787118137636439,0.9282635534962415,0.470422092132827,0.7954911433172303,0.6583493282149712,0.02529982899761613,0.1087293270211402,1748229.0,127.31260704994202,7.517501280681726e-05,0.0005019472441446262,0.0,0.0027457660650793136,0.009659957381278766,0.009679543121863015,0.01194891642555357,0.006112938987618056,0.008471146735977991,0.009930447892634628,0.03959000421659813,0.012419098862683846,0.013734880925307533,0.00507821748764795,0.00011578985414310238,0.0032023863734365774,0.0,9.507955310287384,3
baseline_linear,in_distribution,0.02436125106342928,0.09776318654865312,0.030564779985101136,0.2029420471528176,0.25782193000741854,0.5078343342057411,0.44663867078907643,0.1643237112990982,0.40539148900061045,0.33213966531912975,0.9864941456223911,0.5148421961205499,0.9821558963125229,0.734375,0.02554977616805935,0.19749622413903845,1748229.0,127.31260704994202,0.0005749915932842184,0.0019284910784653495,0.0003918119254062368,0.017391053179032095,0.015375610053232288,0.015026815627497192,0.017613697190545303,0.012284062093831713,0.015469555912276917,0.0156013148234082,0.03166475153554782,0.006904021847077689,0.010930917603449882,0.015347884419435265,0.0006808371476707815,0.01660874985088467,0.0,9.507955310287384,3
baseline_linear,locus_ood,0.024496732911075552,0.09289718060404704,0.027386690314053903,0.10552415680164644,0.19346257122602828,0.4411056704606961,0.36888440845997544,0.13595901365197202,0.36889811837517783,0.2887511679095684,0.9355992109227618,0.47175291189904817,0.775009127418766,0.6647472808701216,0.02530090531444149,0.10925536156061366,1748229.0,127.31260704994202,0.00011064177735516308,0.0006106425742592869,0.0,0.004039983513392454,0.013163234719071574,0.013466245090531478,0.014372699597588521,0.008341118752831741,0.011594745835571003,0.011392829048031072,0.04313765389282954,0.011464945069211476,0.015218927329682738,0.0011081579063140117,0.00018794609230636292,0.005696752448743862,0.0,9.507955310287384,3
baseline_linear,sample_ood,0.024210667545194086,0.09729294884881678,0.030129142482141075,0.19643813582659375,0.2532173232940881,0.5035363481066273,0.442955607112235,0.1619819344846737,0.40261104216456456,0.31770911213977066,0.9980878849734015,0.5049662712769497,0.9838969404186795,0.7376302083333334,0.025336140085614578,0.19100932016775854,1748229.0,127.31260704994202,0.0005807934368298349,0.0013537028056411476,0.0006721825916226645,0.0071209563730882846,0.0110445865572195,0.010706766225014664,0.018196322764243086,0.0059920326532428205,0.007685371796869377,0.012823000983602995,0.04808083006647925,0.01490191868657723,0.009761961073254522,0.01806860558122126,0.0005228024958782795,0.003383824024220354,0.0,9.507955310287384,3
bottleneck016,double_ood,0.024988254615869773,0.09358550707204037,0.0273785206113862,0.08730442486079266,0.1786568879425389,0.4233132363942749,0.3582920657561914,0.13085522792508794,0.3621123454607346,0.2739668755676132,0.952768375120351,0.4446176594230609,0.7600644122383252,0.6353166986564299,0.02576799737477201,0.09344081761098118,695925.0,197.8687801361084,0.00015092441229641127,0.0005689774143432177,0.0,0.0055125115939844765,0.004022850512406369,0.005449970618138898,0.00670841843943142,0.0024957270900530346,0.0031634234194637275,0.0019428084855512727,0.025569675840234847,0.017872665240768776,0.0358541772596012,0.01449104498132584,0.0001925279640701767,0.0072523275722775294,0.0,2.516915846330533,3
bottleneck016,in_distribution,0.024310567464347496,0.09724312702195287,0.030564779985101136,0.20464503608515716,0.24805106394992796,0.4984471737996821,0.4392724180069127,0.15749071352273333,0.39720714231748183,0.3274013162056946,1.0209572313362554,0.4887511649946423,0.987495436290617,0.7259114583333334,0.02558136927175812,0.19814287738745137,695925.0,197.8687801361084,0.0004493351329393085,0.001705214178543379,0.0003918119254062368,0.007387584126027323,0.006475756737627768,0.006902006390467531,0.004506955534047988,0.003943658199649832,0.005148798379228377,0.001024633048715123,0.04613501168213331,0.018573718249483482,0.007119825442145925,0.007458619295175518,0.0004281081750742229,0.007724831383426439,0.0,2.516915846330533,3
bottleneck016,locus_ood,0.024933547025787536,0.09350073296331018,0.027386690314053903,0.0895742880988983,0.18313167707398292,0.42837378064604287,0.3608134680007032,0.1294141304060047,0.36003314922063573,0.2851994492385171,0.957859771648761,0.4473889985016537,0.7264512595837896,0.6391554702495201,0.02577201330224627,0.09351656709972385,695925.0,197.8687801361084,0.00016489763746263867,0.0005902654609528505,0.0,0.0060210867239411355,0.005886992869364484,0.0072204451561408145,0.006575011414582856,0.0038947862994864494,0.0051975375071787394,0.0035399564541590037,0.016799264750518694,0.014988325837705745,0.03268109857809298,0.01850988629749134,0.00017290148889337402,0.006537149597112843,0.0,2.516915846330533,3
bottleneck016,sample_ood,0.02439151419988199,0.09718590651160224,0.030129142482141075,0.19060639518325329,0.24144758714386294,0.4916656572905997,0.4327338276669536,0.1554595444881438,0.39454079296086525,0.31257104083947135,1.0287324159598503,0.4781383482196732,0.9838969404186795,0.7255859375,0.02554207983857064,0.18665650321870905,695925.0,197.8687801361084,0.001011834322854802,0.0026934315962684296,0.0006721825916226645,0.02001577057904765,0.005742148185399024,0.0059631337835626685,0.0014719347054935514,0.004551492710912583,0.0056662075513122506,0.0019309328749245423,0.02986661333794949,0.01157267521334941,0.011415013589982176,0.01906173954681947,0.0010175654302955906,0.01901491055145,0.0,2.516915846330533,3
bottleneck032,double_ood,0.02475172178853302,0.09294403514255205,0.0273785206113862,0.09594378235910765,0.18928654687484114,0.4366602561743189,0.3708715042516249,0.13778437838155888,0.3714295409277284,0.281745226716896,0.9282726177105127,0.47092123809360525,0.7818035426731079,0.6481126039667306,0.025435872519831537,0.1034580612910155,1046693.0,122.13118235270183,8.895246315472182e-05,0.0003870425760957656,0.0,0.0032489872048721007,0.0012426251110447992,0.00304778119345117,0.0028814335563873655,0.0020154460723986983,0.0028663160169771643,0.00737488330809232,0.03429607600503193,0.021127473121263268,0.009761961073254586,0.002931910233496991,8.522337038238848e-05,0.0034228095748820644,0.0,67.69074829385369,3
bottleneck032,in_distribution,0.0240957190268159,0.09660626024695103,0.030564779985101136,0.21165306659970215,0.26069948803841286,0.5110863961840693,0.4506430633442852,0.16715767227784314,0.40910086106763055,0.3359747254517218,0.9875579503225723,0.5182660595582506,0.9881799926980649,0.728515625,0.025285217287725578,0.20643887706652567,1046693.0,122.13118235270183,0.0003689688381046625,0.0010432416488871683,0.0003918119254062368,0.006118752991661508,0.006094113250615669,0.005735707698029458,0.0024211226162482143,0.00424703695358554,0.005488701820151821,0.001740544814629728,0.051295424753865046,0.021529966849681958,0.007062994568146413,0.005859375,0.0003682013881107193,0.006785691527385582,0.0,67.69074829385369,3
